"pc1","pc2","pc3"
-9.6107,-1.5999,-0.65742
-9.7672,-1.2389,-0.59251
-10.059,-0.75565,-0.77315
-9.2255,-1.0532,-0.29427
-8.9753,-1.4009,0.79268
-8.265,-0.3792,-1.1891
-7.7552,0.35995,1.0927
-9.8617,-2.4287,-0.068263
-9.4472,-0.62435,-0.20679
-7.2915,-0.28016,1.07
-7.5378,1.6868,-0.81057
-6.3111,0.32967,-0.43309
-7.2276,0.39992,-0.80905
-7.8641,0.37065,0.32928
-8.7587,-2.3985,0.3302
-8.8131,-2.0477,-0.65997
-8.1091,0.087145,0.46623
-8.7543,-1.957,0.030649
-9.3339,2.2162,1.6241
-9.0366,-0.20599,-0.45292
-7.067,-0.72707,0.88878
-8.4251,1.3259,0.19565
-10.277,-0.67966,0.25186
-8.095,-0.17311,1.7711
-8.949,-0.83016,-0.90996
-7.057,1.8412,0.3133
-7.6729,-0.36619,1.6059
-6.3608,-0.54224,-0.98216
-6.8621,-0.039069,-0.52527
-6.3837,1.8858,-0.89724
-5.5926,0.13667,0.89948
-5.0626,1.7229,0.15461
-5.7587,0.86229,-0.16991
-7.8409,-0.2945,-1.3593
-8.7555,-0.020546,0.34372
-6.0582,-2.4545,0.62395
-6.172,-0.24295,0.034627
-7.3934,-0.48363,2.4686
-5.2153,0.93045,0.46312
-6.4955,0.15172,0.14985
-7.9421,-1.3212,0.63779
-6.9249,-2.1687,-0.77915
-8.1348,-1.1558,-0.26215
-7.4517,-0.39777,-1.626
-8.0801,0.44069,0.49014
-8.2709,2.018,-1.1885
-7.7972,0.72966,-1.0782
-9.3724,-0.44443,-2.27
-7.8018,1.0256,-0.64104
-7.7707,1.7198,1.6083
-11.257,0.037754,-0.83041
-9.2888,1.3957,-0.025765
-9.1408,-0.066775,1.446
-9.2163,-0.023984,-0.58533
-8.5168,0.75997,-2.0842
-7.1804,-1.2906,0.90049
-8.3256,1.2655,0.32275
-9.2284,-0.81507,1.0553
-10.735,-2.0555,0.87031
-10.65,1.2592,-0.36968
-10.335,0.023939,1.2863
-10.383,-1.5702,-0.13475
-9.8923,1.3586,-0.98915
-10.6,0.91377,-0.69705
-7.7977,-0.69118,-0.92007
-7.2953,1.4512,2.0141
-8.8567,0.77321,0.8396
-7.2392,-0.9603,-0.91086
15.446,-0.26174,-0.42145
14.842,-0.71809,0.21398
15.749,-1.4551,0.043176
15.308,-1.3286,0.072734
15.783,-1.2323,-0.24019
15.895,-1.5523,-0.57457
16.554,-1.3634,-0.44265
15.813,-0.87084,-0.055461
13.682,-1.2521,-0.27042
14.613,-0.91127,-0.032439
15.835,-0.81685,-0.38431
14.14,-1.2232,0.27916
16.179,-1.4362,-0.054107
15.692,-1.0048,0.38968
14.695,-0.98416,0.50218
14.56,-1.4055,-0.28064
14.042,-0.47045,-0.19431
15.185,-1.5455,-0.56362
14.044,-0.97903,0.5778
14.072,-0.7981,0.38675
15.568,-0.44617,-0.061489
15.655,-1.2582,-0.21266
14.104,-0.70197,0.12238
14.942,-0.50561,0.23414
8.3231,2.3307,1.0267
7.6609,0.34235,0.070502
8.878,1.3063,-0.57623
10.012,2.2593,-0.77057
9.7341,1.6875,0.18971
9.4811,1.676,-1.4062
9.8281,1.2842,0.43928
9.5141,0.17858,0.65589
10.588,1.9674,-0.96971
10.184,0.69114,1.7569
9.6203,0.89866,0.57051
9.0219,0.94329,-0.19964
10.094,1.3264,0.15507
9.6834,1.1172,2.3772
9.3954,2.0713,0.50092
8.7037,1.0239,-0.68997
9.1175,1.5363,0.2743
8.9198,2.0561,-0.32439
8.1325,1.5258,-1.0385
9.2488,2.3859,-1.2522
10.443,2.6188,-0.011637
